 Count  Overhead File                                                                                                             Line Function
    24         0 @Base/special/trig.jl                                                                                             116 cos(::Float64)
    24        12 @Base/special/trig.jl                                                                                              38 sin(::Float64)
    24        24 @Base/abstractarray.jl                                                                                           1462 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
    25         0 @RTM/src/sail.jl                                                                                                   30 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    26         2 @Base/special/trig.jl                                                                                              44 sin(::Float64)
    27         0 @Base/array.jl                                                                                                    541 Array
    27         0 @Base/boot.jl                                                                                                     430 Array
    28        18 @RTM/src/sail.jl                                                                                                   69 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    28        28 @RTM/src/lidf.jl                                                                                                   12 dcum(::Float64, ::Float64, ::Int64)
    31        31 @RTM/src/sail.jl                                                                                                   60 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    32         0 @RTM/src/prospect.jl                                                                                                5 gpm_k(::Array{Float64,1}, ::Array{Float64,1}, ::Float64)
    33        33 @Base/abstractarray.jl                                                                                           1456 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
    34         0 @Base/abstractarray.jl                                                                                           1392 cat_similar
    34         0 @Base/abstractarray.jl                                                                                           1441 _cat_t
    34         0 @Base/array.jl                                                                                                    361 similar
    37         0 @RTM/src/lidf.jl                                                                                                   15 dcum(::Float64, ::Float64, ::Int64)
    37        37 @Base/special/trig.jl                                                                                               ? sin(::Float64)
    38        23 @RTM/src/sail.jl                                                                                                   72 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    39        33 @RTM/src/volscatt.jl                                                                                               76 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    40         0 @RTM/src/prospect.jl                                                                                               12 prospect4(::Float64, ::Float32, ::Float64, ::Float64)
    41         0 @Base/math.jl                                                                                                     107 evalpoly
    41         0 @RTM/src/lidf.jl                                                                                                   16 dcum(::Float64, ::Float64, ::Int64)
    41        37 @RTM/src/volscatt.jl                                                                                               83 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    42         0 @Base/math.jl                                                                                                     107 macro expansion
    42         0 @Base/special/trig.jl                                                                                              73 sin_kernel
    42         0 @RTM/src/pro4sail.jl                                                                                               11 prospect4_4sail(::Float64, ::Float32, ::Float64, ::Float64, ::Int64, ::Array{Float64,1})
    42        19 @Base/special/trig.jl                                                                                              30 sin(::Float64)
    42        41 @RTM/src/volscatt.jl                                                                                               59 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    42        42 @RTM/src/suits.jl                                                                                                  54 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    45         0 @Base/range.jl                                                                                                    942 vcat
    46        12 @RTM/src/sail.jl                                                                                                   43 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    46        46 @RTM/src/volscatt.jl                                                                                               56 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    47         0 @Base/special/trig.jl                                                                                             143 cos_kernel
    51         6 @Base/special/trig.jl                                                                                              35 sin(::Float64)
    58        58 @Base/float.jl                                                                                                    410 muladd
    59         0 @Base/special/trig.jl                                                                                             140 cos_kernel
    59         0 @RTM/src/sail.jl                                                                                                   29 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    59        59 @RTM/src/suits.jl                                                                                                  39 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    60         0 @Base/boot.jl                                                                                                     422 Array
    60         0 @Base/broadcast.jl                                                                                                196 similar
    69        69 @Base/float.jl                                                                                                    528 abs
    70        11 @RTM/src/sail.jl                                                                                                   49 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    73        52 @Base/operators.jl                                                                                                529 *
    77         0 @Base/abstractarray.jl                                                                                            670 similar
    77         0 @Base/abstractarray.jl                                                                                            671 similar
